Customer_Name,Customer_ID,Segment,Region
Paul Stevenson,Paul Stevenson,Home Office,West
Stephanie Phelps,Stephanie Phelps,Corporate,South
Kunst Miller,Kunst Miller,Consumer,Central
John Lee,John Lee,Consumer,West
Allen Goldenen,Allen Goldenen,Consumer,South
Nicole Fjeld,Nicole Fjeld,Home Office,West
Benjamin Patterson,Benjamin Patterson,Consumer,West
Seth Vernon,Seth Vernon,Consumer,Central
Dorothy Badders,Dorothy Badders,Corporate,South
Allen Armold,Allen Armold,Consumer,West
Aaron Hawkins,Aaron Hawkins,Corporate,East
Theresa Swint,Theresa Swint,Corporate,East
Laurel Beltran,Laurel Beltran,Home Office,East
Lena Creighton,Lena Creighton,Consumer,South
Dianna Arnett,Dianna Arnett,Home Office,Central
Beth Thompson,Beth Thompson,Home Office,West
Marc Harrigan,Marc Harrigan,Home Office,West
Aleksandra Gannaway,Aleksandra Gannaway,Corporate,West
Muhammed Yedwab,Muhammed Yedwab,Corporate,East
Arianne Irving,Arianne Irving,Consumer,West
David Smith,David Smith,Corporate,East
George Bell,George Bell,Corporate,East
Laura Armstrong,Laura Armstrong,Corporate,South
Katherine Hughes,Katherine Hughes,Consumer,East
Lauren Leatherbury,Lauren Leatherbury,Consumer,East
Harry Greene,Harry Greene,Consumer,South
Tamara Manning,Tamara Manning,Consumer,South
Justin MacKendrick,Justin MacKendrick,Consumer,South
Andrew Roberts,Andrew Roberts,Consumer,East
Cari Schnelling,Cari Schnelling,Consumer,South
Joni Sundaresam,Joni Sundaresam,Home Office,Central
Nathan Cano,Nathan Cano,Consumer,East
Paul MacIntyre,Paul MacIntyre,Consumer,Central
Bill Shonely,Bill Shonely,Corporate,West
Andrew Allen,Andrew Allen,Consumer,East
Emily Burns,Emily Burns,Consumer,Central
Giulietta Dortch,Giulietta Dortch,Corporate,South
Katharine Harms,Katharine Harms,Corporate,Central
Peter Fuller,Peter Fuller,Consumer,South
Harold Pawlan,Harold Pawlan,Home Office,West
Steve Nguyen,Steve Nguyen,Home Office,West
Carol Triggs,Carol Triggs,Consumer,East
Kean Thornton,Kean Thornton,Consumer,East
Patrick Gardner,Patrick Gardner,Consumer,West
Sean Braxton,Sean Braxton,Corporate,South
Greg Matthias,Greg Matthias,Consumer,West
Art Foster,Art Foster,Consumer,East
Paul Gonzalez,Paul Gonzalez,Consumer,Central
Harold Dahlen,Harold Dahlen,Home Office,Central
Brooke Gillingham,Brooke Gillingham,Corporate,East
Raymond Messe,Raymond Messe,Consumer,Central
Victoria Wilson,Victoria Wilson,Corporate,Central
Hunter Lopez,Hunter Lopez,Consumer,Central
Aaron Hawkins,Aaron Hawkins,Corporate,West
Naresj Patel,Naresj Patel,Consumer,West
Erica Hernandez,Erica Hernandez,Home Office,South
Alejandro Grove,Alejandro Grove,Consumer,West
Anthony Johnson,Anthony Johnson,Corporate,South
Pauline Webber,Pauline Webber,Corporate,West
Cindy Chapman,Cindy Chapman,Consumer,West
Pete Armstrong,Pete Armstrong,Home Office,Central
Bruce Stewart,Bruce Stewart,Consumer,East
George Ashbrook,George Ashbrook,Consumer,Central
Ted Trevino,Ted Trevino,Consumer,East
John Huston,John Huston,Consumer,Central
Tamara Dahlen,Tamara Dahlen,Consumer,South
Randy Ferguson,Randy Ferguson,Corporate,East
Matt Collister,Matt Collister,Corporate,Central
Bradley Talbott,Bradley Talbott,Home Office,West
Mitch Willingham,Mitch Willingham,Corporate,South
Katherine Hughes,Katherine Hughes,Consumer,Central
Frank Gastineau,Frank Gastineau,Home Office,East
Evan Henry,Evan Henry,Consumer,South
Greg Tran,Greg Tran,Consumer,East
Erica Hackney,Erica Hackney,Consumer,West
Resi Pölking,Resi Pölking,Consumer,East
Barry Weirich,Barry Weirich,Consumer,East
Janet Lee,Janet Lee,Consumer,Central
Dean percer,Dean percer,Home Office,West
Michelle Moray,Michelle Moray,Consumer,Central
Herbert Flentye,Herbert Flentye,Consumer,West
Laurel Elliston,Laurel Elliston,Consumer,Central
Maya Herman,Maya Herman,Corporate,West
Lena Creighton,Lena Creighton,Consumer,West
Magdelene Morse,Magdelene Morse,Consumer,West
Patrick Jones,Patrick Jones,Corporate,West
Laurel Workman,Laurel Workman,Corporate,East
James Galang,James Galang,Consumer,East
Mark Cousins,Mark Cousins,Corporate,Central
Shahid Shariari,Shahid Shariari,Consumer,Central
Ellis Ballard,Ellis Ballard,Corporate,South
Jim Karlsson,Jim Karlsson,Consumer,South
Corey Roper,Corey Roper,Home Office,East
Dianna Wilson,Dianna Wilson,Home Office,Central
Quincy Jones,Quincy Jones,Corporate,Central
Liz Thompson,Liz Thompson,Consumer,South
Stewart Visinsky,Stewart Visinsky,Consumer,South
Christine Kargatis,Christine Kargatis,Home Office,West
Steven Cartwright,Steven Cartwright,Consumer,West
Ross Baird,Ross Baird,Home Office,Central
Richard Eichhorn,Richard Eichhorn,Consumer,Central
Mark Packer,Mark Packer,Home Office,East
Bobby Trafton,Bobby Trafton,Consumer,East
Bryan Mills,Bryan Mills,Consumer,East
Valerie Takahito,Valerie Takahito,Home Office,Central
Grant Thornton,Grant Thornton,Corporate,East
Sarah Bern,Sarah Bern,Consumer,Central
Nick Radford,Nick Radford,Consumer,Central
Bart Pistole,Bart Pistole,Corporate,Central
Rick Duston,Rick Duston,Consumer,East
Katrina Edelman,Katrina Edelman,Corporate,South
Carlos Soltero,Carlos Soltero,Consumer,West
Brosina Hoffman,Brosina Hoffman,Consumer,West
Frank Olsen,Frank Olsen,Consumer,South
Carl Weiss,Carl Weiss,Home Office,Central
Chuck Magee,Chuck Magee,Consumer,West
Thomas Seio,Thomas Seio,Corporate,West
Heather Kirkland,Heather Kirkland,Corporate,Central
Filia McAdams,Filia McAdams,Corporate,West
Sharelle Roach,Sharelle Roach,Home Office,Central
Pamela Stobb,Pamela Stobb,Consumer,Central
Kelly Lampkin,Kelly Lampkin,Corporate,Central
Sonia Cooley,Sonia Cooley,Consumer,Central
Duane Benoit,Duane Benoit,Consumer,East
Gary Hwang,Gary Hwang,Consumer,West
Jennifer Ferguson,Jennifer Ferguson,Consumer,Central
Mick Crebagga,Mick Crebagga,Consumer,West
Corey-Lock,Corey-Lock,Consumer,Central
Naresj Patel,Naresj Patel,Consumer,South
Dave Brooks,Dave Brooks,Consumer,East
Toby Braunhardt,Toby Braunhardt,Consumer,East
Natalie Webber,Natalie Webber,Consumer,East
Raymond Messe,Raymond Messe,Consumer,East
Stewart Visinsky,Stewart Visinsky,Consumer,West
Dianna Vittorini,Dianna Vittorini,Consumer,Central
Toby Braunhardt,Toby Braunhardt,Consumer,West
Joel Eaton,Joel Eaton,Consumer,West
Anna Andreadi,Anna Andreadi,Consumer,East
Brian Stugart,Brian Stugart,Consumer,East
Denise Leinenbach,Denise Leinenbach,Consumer,South
Liz Pelletier,Liz Pelletier,Consumer,West
Noel Staavos,Noel Staavos,Corporate,West
Grace Kelly,Grace Kelly,Corporate,West
Liz MacKendrick,Liz MacKendrick,Consumer,South
Cynthia Arntzen,Cynthia Arntzen,Consumer,East
Rob Williams,Rob Williams,Corporate,Central
Jim Karlsson,Jim Karlsson,Consumer,East
Dan Lawera,Dan Lawera,Consumer,East
Anthony Rawles,Anthony Rawles,Corporate,West
Michael Stewart,Michael Stewart,Corporate,Central
Cari Schnelling,Cari Schnelling,Consumer,East
Russell Applegate,Russell Applegate,Consumer,Central
Helen Abelman,Helen Abelman,Consumer,East
Brian DeCherney,Brian DeCherney,Consumer,South
Laurel Workman,Laurel Workman,Corporate,South
Eric Hoffmann,Eric Hoffmann,Consumer,East
Maxwell Schwartz,Maxwell Schwartz,Consumer,South
Don Miller,Don Miller,Corporate,South
Dennis Pardue,Dennis Pardue,Home Office,West
David Wiener,David Wiener,Corporate,South
Michael Chen,Michael Chen,Consumer,South
Dan Campbell,Dan Campbell,Consumer,Central
Emily Phan,Emily Phan,Consumer,East
Becky Castell,Becky Castell,Home Office,West
John Lee,John Lee,Consumer,East
Ed Braxton,Ed Braxton,Corporate,West
Michelle Huthwaite,Michelle Huthwaite,Consumer,East
Darrin Sayre,Darrin Sayre,Home Office,West
Gary Hansen,Gary Hansen,Home Office,West
Brian Moss,Brian Moss,Corporate,Central
Mark Hamilton,Mark Hamilton,Consumer,East
Laura Armstrong,Laura Armstrong,Corporate,East
Jamie Kunitz,Jamie Kunitz,Consumer,East
Ben Ferrer,Ben Ferrer,Home Office,West
Max Engle,Max Engle,Consumer,Central
Alyssa Crouse,Alyssa Crouse,Corporate,West
Clay Ludtke,Clay Ludtke,Consumer,West
Paul Van Hugh,Paul Van Hugh,Home Office,Central
Arthur Wiediger,Arthur Wiediger,Home Office,Central
Barbara Fisher,Barbara Fisher,Corporate,East
Shirley Schmidt,Shirley Schmidt,Home Office,East
Philip Brown,Philip Brown,Consumer,West
Shui Tom,Shui Tom,Consumer,East
Adrian Hane,Adrian Hane,Home Office,West
Jack Lebron,Jack Lebron,Consumer,East
Christine Abelman,Christine Abelman,Corporate,East
Eugene Moren,Eugene Moren,Home Office,West
Charles Crestani,Charles Crestani,Consumer,West
Scot Wooten,Scot Wooten,Consumer,East
Katherine Murray,Katherine Murray,Home Office,Central
Roger Demir,Roger Demir,Consumer,West
Patrick Gardner,Patrick Gardner,Consumer,Central
Michelle Ellison,Michelle Ellison,Corporate,West
Harry Marie,Harry Marie,Corporate,Central
Alejandro Ballentine,Alejandro Ballentine,Home Office,West
Erin Mull,Erin Mull,Consumer,East
John Lucas,John Lucas,Consumer,Central
Alejandro Grove,Alejandro Grove,Consumer,East
Arthur Gainer,Arthur Gainer,Consumer,West
Nick Crebassa,Nick Crebassa,Corporate,West
Ken Lonsdale,Ken Lonsdale,Consumer,West
Vicky Freymann,Vicky Freymann,Home Office,West
Sheri Gordon,Sheri Gordon,Consumer,South
Carl Ludwig,Carl Ludwig,Consumer,Central
Jack O'Briant,Jack O'Briant,Corporate,West
Luke Foster,Luke Foster,Consumer,Central
Giulietta Weimer,Giulietta Weimer,Consumer,West
Aaron Smayling,Aaron Smayling,Corporate,East
Barry Blumstein,Barry Blumstein,Corporate,West
Chloris Kastensmidt,Chloris Kastensmidt,Consumer,South
Tom Stivers,Tom Stivers,Corporate,West
Barbara Fisher,Barbara Fisher,Corporate,South
Ivan Liston,Ivan Liston,Consumer,West
Ann Steele,Ann Steele,Home Office,East
Nick Zandusky,Nick Zandusky,Home Office,Central
Berenike Kampe,Berenike Kampe,Consumer,East
Bruce Stewart,Bruce Stewart,Consumer,West
Valerie Dominguez,Valerie Dominguez,Consumer,West
Marina Lichtenstein,Marina Lichtenstein,Corporate,East
Stephanie Phelps,Stephanie Phelps,Corporate,East
Ricardo Sperren,Ricardo Sperren,Corporate,East
Chad Sievert,Chad Sievert,Consumer,West
Gary Zandusky,Gary Zandusky,Consumer,Central
Sonia Sunley,Sonia Sunley,Consumer,West
Roland Fjeld,Roland Fjeld,Consumer,South
Trudy Brown,Trudy Brown,Consumer,East
Matt Abelman,Matt Abelman,Home Office,Central
Lena Radford,Lena Radford,Consumer,West
Maria Bertelson,Maria Bertelson,Consumer,West
Tamara Manning,Tamara Manning,Consumer,West
Vivek Gonzalez,Vivek Gonzalez,Consumer,South
Emily Ducich,Emily Ducich,Home Office,West
Gene McClure,Gene McClure,Consumer,West
Matthew Grinstein,Matthew Grinstein,Home Office,West
Andy Gerbode,Andy Gerbode,Corporate,South
Joseph Holt,Joseph Holt,Consumer,West
Ken Lonsdale,Ken Lonsdale,Consumer,East
Charles Sheldon,Charles Sheldon,Corporate,East
Ben Wallace,Ben Wallace,Consumer,West
Lauren Leatherbury,Lauren Leatherbury,Consumer,South
Duane Huffman,Duane Huffman,Home Office,South
Christine Sundaresam,Christine Sundaresam,Consumer,South
Keith Herrera,Keith Herrera,Consumer,Central
Christine Sundaresam,Christine Sundaresam,Consumer,East
Troy Staebel,Troy Staebel,Consumer,East
Don Jones,Don Jones,Corporate,South
Ken Black,Ken Black,Corporate,Central
Bill Shonely,Bill Shonely,Corporate,South
Lena Hernandez,Lena Hernandez,Consumer,South
Maxwell Schwartz,Maxwell Schwartz,Consumer,East
Nick Crebassa,Nick Crebassa,Corporate,South
Craig Reiter,Craig Reiter,Consumer,Central
Deanra Eno,Deanra Eno,Home Office,East
Jeremy Pistek,Jeremy Pistek,Consumer,South
Rick Hansen,Rick Hansen,Consumer,East
Corey Roper,Corey Roper,Home Office,Central
Arthur Prichep,Arthur Prichep,Consumer,West
Robert Barroso,Robert Barroso,Corporate,West
Jennifer Patt,Jennifer Patt,Corporate,East
Dorothy Wardle,Dorothy Wardle,Corporate,South
Mitch Webber,Mitch Webber,Consumer,West
Janet Molinari,Janet Molinari,Corporate,West
Ryan Crowe,Ryan Crowe,Consumer,East
Joe Elijah,Joe Elijah,Consumer,Central
Karl Braun,Karl Braun,Consumer,East
Paul Prost,Paul Prost,Home Office,East
Frank Merwin,Frank Merwin,Home Office,West
Michael Moore,Michael Moore,Consumer,South
Corey Catlett,Corey Catlett,Corporate,South
Zuschuss Donatelli,Zuschuss Donatelli,Consumer,West
Hilary Holden,Hilary Holden,Corporate,West
Ryan Akin,Ryan Akin,Consumer,South
Annie Thurman,Annie Thurman,Consumer,East
Shirley Jackson,Shirley Jackson,Consumer,West
Lena Hernandez,Lena Hernandez,Consumer,East
Larry Tron,Larry Tron,Consumer,West
Jack Lebron,Jack Lebron,Consumer,Central
Bryan Mills,Bryan Mills,Consumer,Central
Clay Ludtke,Clay Ludtke,Consumer,East
Katherine Ducich,Katherine Ducich,Consumer,East
Justin MacKendrick,Justin MacKendrick,Consumer,East
Andy Gerbode,Andy Gerbode,Corporate,Central
Mathew Reese,Mathew Reese,Home Office,Central
Allen Goldenen,Allen Goldenen,Consumer,East
Nora Preis,Nora Preis,Consumer,East
Patrick Ryan,Patrick Ryan,Consumer,South
Victoria Pisteka,Victoria Pisteka,Corporate,West
Dennis Kane,Dennis Kane,Consumer,East
Sam Zeldin,Sam Zeldin,Home Office,Central
Lisa Ryan,Lisa Ryan,Corporate,West
Sean Braxton,Sean Braxton,Corporate,East
Tom Boeckenhauer,Tom Boeckenhauer,Consumer,Central
Marc Crier,Marc Crier,Consumer,West
Lisa Hazard,Lisa Hazard,Consumer,Central
Stefania Perrino,Stefania Perrino,Corporate,East
Ted Trevino,Ted Trevino,Consumer,South
Gary Zandusky,Gary Zandusky,Consumer,West
Becky Martin,Becky Martin,Consumer,Central
Kean Takahito,Kean Takahito,Consumer,Central
Karen Carlisle,Karen Carlisle,Corporate,South
Logan Currie,Logan Currie,Consumer,East
Chris Cortes,Chris Cortes,Consumer,Central
Daniel Lacy,Daniel Lacy,Consumer,South
Rick Reed,Rick Reed,Corporate,East
Nicole Fjeld,Nicole Fjeld,Home Office,East
Maribeth Schnelling,Maribeth Schnelling,Consumer,Central
Sandra Flanagan,Sandra Flanagan,Consumer,East
Dianna Arnett,Dianna Arnett,Home Office,South
Liz Willingham,Liz Willingham,Consumer,West
Luke Weiss,Luke Weiss,Consumer,East
Tom Ashbrook,Tom Ashbrook,Home Office,Central
Brad Norvell,Brad Norvell,Corporate,South
Pete Takahito,Pete Takahito,Consumer,Central
Becky Castell,Becky Castell,Home Office,Central
Jessica Myrick,Jessica Myrick,Consumer,East
Odella Nelson,Odella Nelson,Corporate,West
Resi Pölking,Resi Pölking,Consumer,West
Dan Campbell,Dan Campbell,Consumer,East
Erin Ashbrook,Erin Ashbrook,Corporate,South
Jennifer Braxton,Jennifer Braxton,Corporate,Central
Astrea Jones,Astrea Jones,Consumer,East
Scott Cohen,Scott Cohen,Corporate,Central
Cynthia Arntzen,Cynthia Arntzen,Consumer,South
John Castell,John Castell,Consumer,South
Darrin Martin,Darrin Martin,Consumer,East
Alex Avila,Alex Avila,Consumer,East
Monica Federle,Monica Federle,Corporate,East
Bradley Nguyen,Bradley Nguyen,Consumer,West
Nick Radford,Nick Radford,Consumer,West
Kean Takahito,Kean Takahito,Consumer,South
Joseph Airdo,Joseph Airdo,Consumer,West
Anthony Garverick,Anthony Garverick,Home Office,East
Sean Braxton,Sean Braxton,Corporate,Central
John Lee,John Lee,Consumer,South
Mike Caudle,Mike Caudle,Corporate,West
Neil Ducich,Neil Ducich,Corporate,West
Frank Atkinson,Frank Atkinson,Corporate,West
Jim Kriz,Jim Kriz,Home Office,West
Bill Shonely,Bill Shonely,Corporate,East
Sarah Brown,Sarah Brown,Consumer,Central
Mitch Webber,Mitch Webber,Consumer,East
Henry Goldwyn,Henry Goldwyn,Corporate,West
Michelle Arnett,Michelle Arnett,Home Office,West
Philip Fox,Philip Fox,Consumer,Central
Erica Smith,Erica Smith,Consumer,West
Duane Noonan,Duane Noonan,Consumer,East
Larry Hughes,Larry Hughes,Consumer,East
Sara Luxemburg,Sara Luxemburg,Home Office,East
Jack Garza,Jack Garza,Consumer,West
Matt Abelman,Matt Abelman,Home Office,East
Vivek Grady,Vivek Grady,Corporate,Central
Maribeth Schnelling,Maribeth Schnelling,Consumer,South
Adam Shillingsburg,Adam Shillingsburg,Consumer,East
Julie Prescott,Julie Prescott,Home Office,East
Sanjit Chand,Sanjit Chand,Consumer,Central
Brian Moss,Brian Moss,Corporate,West
Jim Kriz,Jim Kriz,Home Office,East
Thea Hudgings,Thea Hudgings,Corporate,East
Thomas Thornton,Thomas Thornton,Consumer,East
Julia Dunbar,Julia Dunbar,Consumer,West
Michelle Tran,Michelle Tran,Home Office,Central
Barry Franz,Barry Franz,Home Office,West
Michael Moore,Michael Moore,Consumer,Central
Dianna Arnett,Dianna Arnett,Home Office,East
Christopher Schild,Christopher Schild,Home Office,West
Karen Ferguson,Karen Ferguson,Home Office,West
Craig Molinari,Craig Molinari,Corporate,East
Kean Takahito,Kean Takahito,Consumer,West
Henry Goldwyn,Henry Goldwyn,Corporate,Central
Nicole Brennan,Nicole Brennan,Corporate,East
Thomas Seio,Thomas Seio,Corporate,East
Thea Hendricks,Thea Hendricks,Consumer,West
George Zrebassa,George Zrebassa,Corporate,East
Xylona Preis,Xylona Preis,Consumer,South
Keith Dawkins,Keith Dawkins,Corporate,South
Evan Bailliet,Evan Bailliet,Consumer,West
Suzanne McNair,Suzanne McNair,Corporate,East
Lisa DeCherney,Lisa DeCherney,Consumer,East
Paul Prost,Paul Prost,Home Office,West
Russell Applegate,Russell Applegate,Consumer,East
Doug Bickford,Doug Bickford,Consumer,West
Kelly Williams,Kelly Williams,Consumer,South
Dario Medina,Dario Medina,Corporate,East
Maya Herman,Maya Herman,Corporate,East
Ben Wallace,Ben Wallace,Consumer,South
Neil Französisch,Neil Französisch,Home Office,West
Erin Smith,Erin Smith,Corporate,West
Denny Ordway,Denny Ordway,Consumer,East
Russell D'Ascenzo,Russell D'Ascenzo,Consumer,Central
Beth Paige,Beth Paige,Consumer,Central
Sara Luxemburg,Sara Luxemburg,Home Office,South
Allen Rosenblatt,Allen Rosenblatt,Corporate,West
Joy Daniels,Joy Daniels,Consumer,West
David Flashing,David Flashing,Consumer,West
Chris Cortes,Chris Cortes,Consumer,East
Keith Herrera,Keith Herrera,Consumer,West
Brian Derr,Brian Derr,Consumer,East
Victoria Pisteka,Victoria Pisteka,Corporate,Central
Joy Daniels,Joy Daniels,Consumer,East
Alice McCarthy,Alice McCarthy,Corporate,Central
Xylona Preis,Xylona Preis,Consumer,West
Mathew Reese,Mathew Reese,Home Office,East
Jack Garza,Jack Garza,Consumer,South
Bart Pistole,Bart Pistole,Corporate,South
Craig Molinari,Craig Molinari,Corporate,Central
Richard Bierner,Richard Bierner,Consumer,East
Fred Chung,Fred Chung,Corporate,West
Tanja Norvell,Tanja Norvell,Home Office,West
Shirley Daniels,Shirley Daniels,Home Office,West
